,名称,最低价格,最高价格,产品图片链接
0,探岳,18.59万,31.39万,http://img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg
1,途岳,16.58万,22.38万,http://img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png
2,途观L,21.88万,31.18万,http://img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png
3,途昂,29.99万,50.59万,http://img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png
4,途铠,11.49万,15.99万,http://img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png
5,探歌,13.58万,20.38万,http://img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png
6,探影,11.49万,15.99万,http://img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg
7,途观,19.48万,23.18万,http://img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg
8,探岳X,23.58万,29.58万,http://img1.bitautoimg.com/autoalbum/files/20200619/889/0415468894_6.jpg
9,途昂X,28.99万,43.99万,http://img1.bitautoimg.com/autoalbum/files/20190416/056/1215330566_6.jpg
10,途锐,56.98万,82.18万,http://img3.bitautoimg.com/autoalbum/files/20180911/623/0542406239_6.png
11,Tiguan,23.98万,35.08万,http://img1.bitautoimg.com/autoalbum/files/20180802/160/0459231608_6.png
12,途观L 插电混动,26.58万,32.58万,http://img4.bitautoimg.com/autoalbum/files/20180927/073/0409530731_6.png
13,探岳GTE 插电混动,24.98万,25.98万,http://img3.bitautoimg.com/autoalbum/files/20200414/529/0201435292_6.jpg
14,途锐 插电混动,暂无,暂无,http://img4.bitautoimg.com/autoalbum/files/20190528/026/0617560266_6.jpg
